country,gender,age,year
SAU,muž,<50; 55),2023
SGP,muž,<10; 15),2023
SGP,muž,<20; 25),2023
SDN,muž,<60; 65),2023
SDN,muž,<75; 80),2023
CHE,muž,<75; 80),2023
CHE,muž,<85; N),2023
SYR,muž,<60; 65),2023
SDN,muž,<35; 40),2023
SYR,muž,<25; 30),2023
SYR,muž,<65; 70),2023
SYR,muž,<85; N),2023
TJK,muž,<5; 10),2023
THA,muž,<45; 50),2023
THA,muž,<70; 75),2023
TGO,muž,<55; 60),2023
XXA,muž,<20; 25),2023
XXA,muž,<30; 35),2023
XXX,muž,<55; 60),2023
XXX,muž,<85; N),2023
AFG,žena,<50; 55),2023
AUS,žena,<40; 45),2023
ARM,žena,<10; 15),2023
ARM,žena,<20; 25),2023
ARM,žena,<45; 50),2023
BEL,žena,<30; 35),2023
XKX,žena,<0; 5),2023
CYP,žena,<0; 5),2023
CYP,žena,<5; 10),2023
CYP,žena,<65; 70),2023
CYP,žena,<70; 75),2023
YEM,muž,<60; 65),2023
AFG,žena,<70; 75),2023
AGO,žena,<80; 85),2023
XKX,žena,<85; N),2023
DOM,žena,<40; 45),2023
EST,žena,<15; 20),2023
GEO,žena,<20; 25),2023
GEO,žena,<35; 40),2023
GEO,žena,<55; 60),2023
GEO,žena,<70; 75),2023
EST,žena,<50; 55),2023
GEO,žena,<15; 20),2023
GRC,žena,<10; 15),2023
GRC,žena,<70; 75),2023
IRN,žena,<15; 20),2023
IRN,žena,<55; 60),2023
IRN,žena,<75; 80),2023
ITA,žena,<5; 10),2023
ITA,žena,<15; 20),2023
ITA,žena,<40; 45),2023
JAM,žena,<20; 25),2023
LBN,žena,<5; 10),2023
LBN,žena,<20; 25),2023
LBN,žena,<85; N),2023
LVA,žena,<70; 75),2023
LTU,žena,<55; 60),2023
LTU,žena,<60; 65),2023
LTU,žena,<75; 80),2023
LTU,žena,<80; 85),2023
MEX,žena,<55; 60),2023
MEX,žena,<85; N),2023
MNE,žena,<30; 35),2023
MAR,žena,<40; 45),2023
MAR,žena,<0; 5),2023
NAM,žena,<35; 40),2023
NLD,žena,<20; 25),2023
NLD,žena,<30; 35),2023
NLD,žena,<50; 55),2023
NLD,žena,<70; 75),2023
NOR,žena,<25; 30),2023
NLD,žena,<80; 85),2023
NOR,žena,<10; 15),2023
NGA,žena,<25; 30),2023
NOR,žena,<55; 60),2023
NOR,žena,<70; 75),2023
PAK,žena,<55; 60),2023
PER,žena,<40; 45),2023
SGP,žena,<60; 65),2023
SVN,žena,<20; 25),2023
CHE,žena,<25; 30),2023
CHE,žena,<45; 50),2023
CHE,žena,<50; 55),2023
SYR,žena,<30; 35),2023
SYR,žena,<60; 65),2023
SYR,žena,<85; N),2023
TJK,žena,<20; 25),2023
TKM,žena,<10; 15),2023
TKM,žena,<15; 20),2023
TKM,žena,<20; 25),2023
MKD,žena,<0; 5),2023
MKD,žena,<30; 35),2023
MKD,žena,<75; 80),2023
MKD,žena,<85; N),2023
URY,žena,<15; 20),2023
VEN,žena,<0; 5),2023
VEN,žena,<70; 75),2023
URY,žena,<50; 55),2023
LKA,muž,<15; 20),2023
LKA,muž,<55; 60),2023
ISL,muž,<10; 15),2023
ISL,muž,<15; 20),2023
ZWE,muž,<30; 35),2023
BGD,žena,<10; 15),2023
BGD,žena,<20; 25),2023
KWT,muž,<30; 35),2023
KWT,muž,<55; 60),2023
CIV,žena,<45; 50),2023
IDN,muž,<35; 40),2023
TZA,muž,<20; 25),2023
BOL,muž,<55; 60),2023
SLV,žena,<20; 25),2023
HKG,žena,<30; 35),2023
CYP,muž,<20; 25),2023
CYP,muž,<55; 60),2023
CYP,muž,<65; 70),2023
NER,muž,<55; 60),2023
DZA,žena,<30; 35),2023
SEN,muž,<15; 20),2023
ISL,žena,<30; 35),2023
ISL,žena,<45; 50),2023
BDI,muž,<45; 50),2023
COD,žena,<30; 35),2023
TZA,žena,<25; 30),2023
GTM,muž,<35; 40),2023
HND,muž,<25; 30),2023
UGA,muž,<40; 45),2023
COG,žena,<25; 30),2023
COG,žena,<35; 40),2023
COG,žena,<55; 60),2023
ECU,žena,<25; 30),2023
UGA,žena,<30; 35),2023
UGA,žena,<35; 40),2023
EGY,žena,<30; 35),2023
EGY,žena,<40; 45),2023
EGY,žena,<80; 85),2023
NIC,muž,<30; 35),2023
CRI,žena,<5; 10),2023
CRI,žena,<25; 30),2023
NPL,žena,<65; 70),2023
CRI,žena,<50; 55),2023
JOR,žena,<30; 35),2023
LBR,žena,<15; 20),2023
ZWE,žena,<25; 30),2023
MLT,muž,<0; 5),2023
MLT,muž,<60; 65),2023
HKG,muž,<30; 35),2023
MDV,muž,<30; 35),2023
ETH,žena,<30; 35),2023
ETH,žena,<40; 45),2023
MLI,žena,<30; 35),2023
GNB,žena,<45; 50),2023
MDG,žena,<25; 30),2023
SAU,žena,<25; 30),2023
PAN,žena,<40; 45),2023
NIC,žena,<30; 35),2023
SOM,žena,<30; 35),2023
SEN,žena,<25; 30),2023
SEN,žena,<40; 45),2023
RWA,žena,<25; 30),2023
TON,žena,<65; 70),2023
BLZ,muž,<45; 50),2023
KNA,muž,<15; 20),2023
KNA,muž,<55; 60),2023
ERI,žena,<25; 30),2023
FJI,žena,<35; 40),2023
AFG,muž,<10; 15),2023
DZA,muž,<10; 15),2023
AZE,muž,<0; 5),2023
AZE,muž,<10; 15),2023
AZE,muž,<20; 25),2023
AZE,muž,<40; 45),2023
ARG,muž,<40; 45),2023
ARG,muž,<45; 50),2023
AUT,muž,<15; 20),2023
AUT,muž,<85; N),2023
ARM,muž,<55; 60),2023
ARM,muž,<80; 85),2023
BEL,muž,<45; 50),2023
BRA,muž,<45; 50),2023
BRA,muž,<50; 55),2023
BRA,muž,<60; 65),2023
XKX,muž,<5; 10),2023
XKX,muž,<40; 45),2023
XKX,muž,<65; 70),2023
XKX,muž,<80; 85),2023
BGR,muž,<30; 35),2023
BGR,muž,<75; 80),2023
BLR,muž,<5; 10),2023
CAN,muž,<25; 30),2023
CAN,muž,<85; N),2023
CHL,muž,<60; 65),2023
CHN,muž,<30; 35),2023
CHN,muž,<60; 65),2023
CUB,muž,<30; 35),2023
DNK,muž,<0; 5),2023
DNK,muž,<40; 45),2023
DNK,muž,<65; 70),2023
FRA,muž,<50; 55),2023
DEU,muž,<25; 30),2023
GHA,muž,<10; 15),2023
GHA,muž,<25; 30),2023
GHA,muž,<30; 35),2023
IRN,muž,<10; 15),2023
IRN,muž,<30; 35),2023
IRN,muž,<35; 40),2023
IRN,muž,<50; 55),2023
IRN,muž,<70; 75),2023
IRN,muž,<85; N),2023
IRQ,muž,<15; 20),2023
ITA,muž,<45; 50),2023
ITA,muž,<85; N),2023
JPN,muž,<10; 15),2023
JPN,muž,<15; 20),2023
KAZ,muž,<30; 35),2023
KAZ,muž,<40; 45),2023
